time_dif_buckets,customers_total,"[0, 7)","[0, 7)","[7, 14)","[7, 14)","[14, 21)","[14, 21)","[21, 28)","[21, 28)","[28, 35)","[28, 35)","[35, 42)","[35, 42)","[42, 49)","[42, 49)","[49, 56)","[49, 56)","[56, 63)","[56, 63)","[63, 70)","[63, 70)","[70, 77)","[70, 77)","[77, 84)","[77, 84)","[84, 91)","[84, 91)","[91, 98)","[91, 98)","[98, 105)","[98, 105)","[105, 112)","[105, 112)","[112, 119)","[112, 119)","[119, 126)","[119, 126)","[126, 133)","[126, 133)","[133, 140)","[133, 140)","[140, 147)","[140, 147)","[147, 154)","[147, 154)","[154, 161)","[154, 161)","[161, 168)","[161, 168)","[168, 175)","[168, 175)","[175, 182)","[175, 182)","[182, 189)","[182, 189)"
,,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders
cohort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-29 - 2015-01-04,160,13.12,13.12,3.12,7.5,0.0,5.62,0.62,4.38,1.25,6.25,0.0,3.75,0.62,3.12,0.0,3.75,0.62,4.38,0.0,1.88,0.0,2.5,1.25,3.75,0.0,3.12,0.62,2.5,0.0,3.12,0.0,4.38,0.0,1.88,0.0,3.75,0.62,5.0,0.0,1.88,0.0,1.88,0.0,2.5,0.0,1.25,0.0,2.5,0.62,3.12,0.0,1.88,0.0,1.25
2015-01-05 - 2015-01-11,1471,9.79,9.99,4.76,7.14,2.11,4.49,1.43,4.96,1.16,4.69,0.75,3.6,0.82,4.15,0.88,4.83,1.02,4.15,0.82,4.08,0.2,2.58,0.27,2.92,0.07,3.4,0.41,3.54,0.41,3.67,0.61,3.81,0.34,2.72,0.27,3.2,0.34,2.58,0.14,2.99,0.14,2.45,0.27,2.72,0.07,3.33,0.34,3.67,0.2,2.45,0.27,1.9,0.0,0.0
2015-01-12 - 2015-01-18,1439,13.2,13.48,3.34,6.53,1.46,5.35,0.9,3.75,0.69,3.75,0.56,4.52,0.97,4.73,0.42,3.96,0.9,4.59,0.35,3.27,0.14,3.13,0.21,3.34,0.28,3.41,0.35,2.92,0.07,3.06,0.42,3.82,0.35,2.99,0.21,3.47,0.35,3.06,0.07,3.2,0.35,2.64,0.49,3.54,0.35,2.78,0.0,2.5,0.07,2.08,0.07,0.14,0.0,0.0
2015-01-19 - 2015-01-25,1469,14.16,14.36,4.08,6.6,1.63,3.74,1.5,4.36,1.23,4.15,1.63,5.04,1.29,4.49,0.68,4.15,0.61,3.81,0.41,3.81,0.41,3.95,0.68,4.15,0.54,3.54,0.88,4.15,0.34,3.2,0.27,2.86,0.34,3.54,0.2,3.0,0.07,3.27,0.27,3.81,0.2,3.4,0.14,2.31,0.14,2.31,0.14,1.91,0.0,0.07,0.0,0.0,0.0,0.0
2015-01-26 - 2015-02-01,848,15.33,15.68,2.48,5.07,1.42,5.31,0.83,3.42,1.06,5.54,0.83,3.77,0.71,4.36,0.47,4.36,0.35,3.66,0.12,3.18,0.24,4.13,0.12,2.95,0.35,4.25,0.35,3.07,0.35,3.18,0.35,3.77,0.71,4.36,0.24,3.54,0.35,3.07,0.0,3.66,0.12,2.95,0.12,3.66,0.12,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-02 - 2015-02-08,499,17.64,17.64,2.61,6.61,1.6,5.41,0.8,4.81,1.0,5.01,0.8,3.81,0.8,4.81,0.0,2.4,0.0,3.81,0.4,3.81,0.4,3.61,0.2,4.01,0.6,4.81,0.4,4.01,0.4,4.01,0.0,2.61,0.0,3.41,0.4,3.01,0.2,3.81,0.2,2.81,0.2,3.41,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-09 - 2015-02-15,439,18.0,18.0,1.37,5.69,2.73,7.52,1.37,5.01,0.68,4.56,0.46,4.1,0.68,4.1,0.68,4.1,0.68,4.1,0.0,3.87,0.23,4.33,0.46,3.42,0.68,4.1,0.23,2.28,0.0,3.64,0.23,4.1,0.68,4.1,0.0,2.73,0.68,3.87,0.46,3.87,0.0,2.05,0.23,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-16 - 2015-02-22,424,17.45,17.69,3.3,7.55,1.18,5.19,0.94,7.08,0.71,4.95,0.47,3.54,0.47,3.54,0.24,4.72,0.0,3.77,0.24,4.48,0.47,4.01,0.0,4.25,0.0,3.54,0.47,4.25,0.0,4.01,0.0,3.54,0.0,3.07,0.24,3.07,0.24,4.72,0.0,2.83,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
